1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
12,Removed,Challenge,Triple,Hall,1992-2017,,,,,,,,Top,Bottom,,"Relocated from Sun Valley, ID",eldora-co/
13,Removed,Cannonball,Double,Heron-Poma,1973-2017,1200,998,4125,,500,,,Bottom,Bottom,8.3,Retrofitted with Yan drive terminal added in 1977,eldora-co/
2,Operating,A,Double,Borvig,1973-,1000,85,602,,350,30,5,Bottom,Bottom,1.7,,elk-mountain-pa/
3,Operating,B,Double,Hall,1965-,1200,897,3672,,465,108,21,Bottom,Top,7.9,,elk-mountain-pa/
4,Operating,C,Double,Borvig,1977-,1200,870,3291,,450,145,17,Bottom,Bottom,7.3,,elk-mountain-pa/
5,Operating,D,Double,Hall,1969-,1200,320,1798,,465,70,9,Bottom,Bottom,3.9,Borvig drive terminal,elk-mountain-pa/
6,Operating,E,Double,Hall,,,,,,,144,15,Bottom,Bottom,,"Borvig return, CTEC towers and drive terminal",elk-mountain-pa/
7,Operating,F,Quad,Garaventa CTEC,1994-,2400,935,3570,300,425,147,16,Bottom,Bottom,8.4,,elk-mountain-pa/
8,Removed,,J-Bar,Hall,1963-,445,81,650,,,,,,,,,elk-mountain-pa/
2,Operating,Chairlift,Double,Hall,1997-,,700,2992,,,99,16,Bottom,Bottom,,"Relocated from Caribou, ID",elko-snobowl-nv/
2,Operating,Sky Ride,Double,Hall,,,,,,,30,8,Southwest,Southwest,,,enchanted-forest-ny/
2,Operating,Estes Park Tramway,Tram 8,Heron,1955-,,1100,2640,75,1400,2,0,,,,,estes-park-tramway-co/
2,Operating,Sky Ride,Triple,Hopkins,2018-,,,,,,71,10,South,South,,Relocated,expo-new-mexico-nm/
2,Operating,Sundance,Triple,Doppelmayr,1979-,1800,857,3175,,475,136,12,Bottom,Bottom,6.7,,fairmont-hot-springs-bc/
3,Operating,Snowbird,Platter,Doppelmayr,,,,,,,,4,Bottom,Top,,,fairmont-hot-springs-bc/
4,Removed,,T-Bar,Alpine Lift,1968-1979,800,624,3203,,,,,,,,,fairmont-hot-springs-bc/
2,Operating,T-Bar,T-Bar,Doppelmayr,1983-,,601,,,,,10,Bottom,Top,,Relocated,ferguson-ridge-or/
2,Operating,Boomerang,Triple,Doppelmayr,1985-,1700,1640,4049,,500,150,14,Top,Bottom,8.1,,fernie-bc/
3,Operating,Deer,Triple,Doppelmayr,1993-,,672,2978,,,138,11,Bottom,Bottom,,,fernie-bc/
4,Operating,Elk,Quad,Doppelmayr,1989-,1810,1025,4615,268,500,140,18,Top,Bottom,9.2,,fernie-bc/
5,Operating,Great Bear Express,High Speed Quad,Leitner,2000-,2400,1538,5232,700,1102,104,17,Top,Bottom,4.7,,fernie-bc/
6,Operating,Haul Back,T-Bar,Doppelmayr,1993-,,460,1560,,,,5,Bottom,Top,2.5,Relocated from Deer,fernie-bc/
7,Operating,Mighty Moose,Platter,Doppelmayr,1991-,614,150,1062,25,500,,3,Bottom,Top,2.1,,fernie-bc/
8,Operating,Polar Peak,Triple,Doppelmayr,2011-,,,,,,85,9,Bottom,Top,,"Relocated from Nakiska, AB",fernie-bc/
9,Operating,Timber Bowl Express,High Speed Quad,Leitner,1998-,1800,2154,8616,1000,1100,126,31,Top,Bottom,7.8,,fernie-bc/
10,Operating,White Pass,Quad,Leitner,1998-,1800,1233,3732,500,450,122,17,Bottom,Bottom,8.3,,fernie-bc/
11,Removed,Bear,T-Bar,Doppelmayr,1969-2000,750,1010,2960,,590,,,,,5,,fernie-bc/
12,Removed,Deer,T-Bar,Doppelmayr,1975-1993,1210,464,2135,,570,,,,,3.7,,fernie-bc/
13,Removed,Griz,Double,Mueller,1978-1989,1200,1082,5085,,500,,,,,10.2,,fernie-bc/
14,Removed,Elk,T-Bar,,1961-1989,,,,,,,,,,,,fernie-bc/
2,Operating,Sky Ride,Triple,Hopkins,,,,,,,116,11,South,South,,,florida-state-fair-fl/
2,Operating,Sky Safari,Triple,SkyTrans,2008-,,,,,,34,8,East,East,,,fort-wayne-childrens-zoo-in/
2,Operating,Express,Double,Borvig,2004-,,,600,,,31,3,Bottom,Bottom,,Relocated,four-seasons-ny/
3,Removed,J-Bar,J-Bar,,1978-2004,,,600,,,,,Top,Bottom,,,four-seasons-ny/
2,Operating,Tram,Tram,Leitner-Poma,2013-,50,1621,3379,75,571,1,3,Bottom,Bottom,5.9,,franklin-mountain-tx/
2,Operating,Lyle's,Quad,Skytrac,2018-,1800,343,1632,125,450,,7,Top,Top,3.6,,frost-fire-nd/
3,Removed,Double,Double,American Cableways,-2018,,,,,,,8,Bottom,Bottom,,"Relocated from Coffee Mill, MN",frost-fire-nd/
4,Removed,Triple,Triple,,-2018,,,,,,,11,,,,,frost-fire-nd/
2,Operating,Gatlinburg SkyLift,Triple,Doppelmayr,2017-,982,491,1504,100,175,92,11,Bottom,Bottom,8.6,,gatlinburg-skylift-park-tn/
3,Removed,Gatlinburg SkyLift,Double,Riblet,1991-2016,,,,,,,,Bottom,Top,,,gatlinburg-skylift-park-tn/
4,Removed,Gatlinburg SkyLift,Double,Heron,1954-1991,,,,,,,,,,,"Relocated from Sugar Bowl, CA",gatlinburg-skylift-park-tn/
2,Operating,Calgary,Triple,Riblet,1984-,1800,421,1945,,450,,,Bottom,Bottom,4.3,,giants-ridge-mn/
3,Operating,Chamonix,Double,Riblet,1987-,1200,404,2100,75,450,,,Bottom,Bottom,4.7,,giants-ridge-mn/
4,Operating,Helsinki,Quad,Skytrac,2017-,2400,420,1915,200,400,,10,Bottom,Bottom,4.8,,giants-ridge-mn/
5,Operating,Rocky Top,Double,Riblet,1987-,1200,427,2319,75,450,82,11,Bottom,Bottom,5.2,,giants-ridge-mn/
6,Operating,Sarajevo Express,High Speed Quad,Leitner-Poma,2017-,2400,423,2260,300,1000,50,8,Bottom,Dual,2.3,,giants-ridge-mn/
7,Removed,Helsinki,Double,Riblet,1984-2017,1200,414,1820,,450,,,Bottom,Bottom,4,,giants-ridge-mn/
8,Removed,J-Bar,J-Bar,Borvig,,,,,,,,,,,,,giants-ridge-mn/
9,Removed,Sarajevo,Triple,Riblet,1997-2017,1800,427,2250,125,400,,,Bottom,Bottom,5.6,,giants-ridge-mn/
10,Removed,,T-Bar,Constam,1963-1984,800,465,2160,,,,,,,,,giants-ridge-mn/
2,Operating,Limestone,Quad,Leitner-Poma,2012-,2400,217,948,100,453,43,5,Bottom,Bottom,2.1,,glen-eden-on/
3,Operating,Ridge,Quad,Poma,1997-,2400,249,1155,100,450,53,5,Bottom,Bottom,2.6,,glen-eden-on/
4,Operating,Updraft,Quad,Poma,2000-,2400,231,1275,100,554,56,5,Bottom,Bottom,2.3,,glen-eden-on/
5,Removed,Boomerang,T-Bar,Skyway,1971-1987,1100,190,1100,,400,,,,,2.8,,glen-eden-on/
6,Removed,Boomerang,Triple,Poma,1987-2012,1800,200,985,75,420,,,Bottom,Bottom,2.3,,glen-eden-on/
7,Removed,Galaxy,T-Bar,Skyway,1975-2000,1200,183,1135,,400,,,,,2.8,,glen-eden-on/
8,Removed,Sidewinder,Triple,Skyway,1977-2000,2100,231,1257,,425,,,,,3,,glen-eden-on/
2,Operating,Glenwood Gondola,Gondola 6,Leitner-Poma,2019-,1000,1352,4449,400,600,44,18,Top,Bottom,,,glenwood-caverns-adventure-park-co/
3,Removed,Iron Mountain Tramway,Pulse Gondola 6,Leitner-Poma,2002-2018,543,1351,4432,400,1000,8,18,Bottom,Bottom,4.4,,glenwood-caverns-adventure-park-co/
2,Operating,Adirondack Express II,High Speed Quad,Leitner-Poma,2014-,2400,1494,7079,700,1100,134,20,Bottom,Dual,6.4,,gore-mountain-ny/
3,Operating,Bear Cub,Platter,Poma,1997-,,,,,,,4,Bottom,Top,,,gore-mountain-ny/
4,Operating,Burnt Ridge,High Speed Quad,Leitner-Poma,2008-,2000,1437,6096,700,1100,97,20,Bottom,Dual,5.5,,gore-mountain-ny/
5,Operating,High Peaks,Quad,Leitner-Poma,2020-,2000,902,3537,400,450,130,13,Bottom,Bottom,7.9,,gore-mountain-ny/
6,Operating,Hudson,Triple,Partek,2010-,,,,,,,18,Bottom,Bottom,,,gore-mountain-ny/
7,Operating,J-Bar,J-Bar,Hall,1963-,400,35,358,,,,3,Bottom,Bottom,,,gore-mountain-ny/
8,Operating,North,Quad,Garaventa CTEC,1997-,2400,733,3750,300,450,141,15,Top,Bottom,8.3,,gore-mountain-ny/
9,Operating,Northwoods,Gondola 8,Poma,1999-,2400,1703,7208,900,1100,,24,Top,Bottom,6.6,,gore-mountain-ny/
10,Operating,Straight Brook,Quad,Garaventa CTEC,1995-,2400,913,2755,300,450,124,12,Top,Bottom,6.1,,gore-mountain-ny/
11,Operating,Sunway,Quad,Skytrac,2020-,2400,591,3232,300,450,121,12,Bottom,Bottom,7.2,Leitner-Poma towers,gore-mountain-ny/
12,Operating,Topridge,Triple,CTEC,2002-,,1024,4100,,,163,19,Top,Bottom,,"Relocated from Whiteface, NY",gore-mountain-ny/
13,Operating,Village,Triple,Partek,2007-,,,,,,,5,Bottom,Bottom,,,gore-mountain-ny/
14,Removed,Adirondack,Double,Hall,1963-1984,900,1485,7268,,,,,,,,,gore-mountain-ny/
15,Removed,Adirondack Express,High Speed Triple,VonRoll,1984-2014,2160,1499,7114,,885,,,,,8,,gore-mountain-ny/
16,Removed,Gondola,Gondola 4,VonRoll,1968-1999,800,2062,10927,,700,,,,,15.6,Midstation,gore-mountain-ny/
17,Removed,Gore-E-Gully,Double,Hopkins,1966-2008,800,100,720,,450,,,,,1.6,,gore-mountain-ny/
18,Removed,High Peaks,Double,Riblet,1966-2020,750,783,3603,,450,103,14,Bottom,Bottom,8,Retrofitted with CTEC terminals.,gore-mountain-ny/
19,Removed,North,Double,Hall,1963-1997,900,727,3962,,,,,,,,,gore-mountain-ny/
20,Removed,North Creek,T-Bar,,1946-1978,,,4000,,,,,,,,,gore-mountain-ny/
21,Removed,Straightbrook,Double,Riblet,1967-1995,800,898,2833,,450,,,,,6.3,,gore-mountain-ny/
22,Removed,Sunway,Double,Riblet,1986-2020,1200,520,2812,150,550,93,17,Bottom,Bottom,5.1,Midstation,gore-mountain-ny/
23,Removed,,T-Bar,Roebling,1964-,1200,135,1110,,,,,,,,,gore-mountain-ny/
24,Removed,,T-Bar,Hall,1963-,900,310,1620,,,,,,,,,gore-mountain-ny/
2,Operating,Conquest,Triple,Yan,1982-,1800,767,3375,,450,,,Bottom,Bottom,7.5,,granby-ranch-co/
3,Operating,Kicking Horse,Quad,Leitner,2001-,1200,244,1920,75,450,,,Bottom,Bottom,4.3,,granby-ranch-co/
4,Operating,Milestone,Double,Yan,1982-,1200,77,555,,300,,4,Bottom,Bottom,1.9,,granby-ranch-co/
5,Operating,Quickdraw,High Speed Quad,Leitner,1999-,2400,840,4360,500,1100,,14,Top,Bottom,4,,granby-ranch-co/
6,Removed,Longhorn,Platter,Poma,1983-2016,500,138,632,,405,,,Bottom,Top,1.6,,granby-ranch-co/
7,Removed,Expedition,Triple,Yan,1982-1999,1800,841,4400,,450,,,,,9.8,,granby-ranch-co/
8,Removed,Summit,Double,Heron-Poma,-1988,,,,,,,,,,,"Relocated from Stagecoach, CO",granby-ranch-co/
2,Operating,Blackfoot,Quad,Doppelmayr,2016-,1800,1200,3119,300,450,105,13,Bottom,Bottom,6.9,,grand-targhee-wy/
3,Operating,Colter,High Speed Six,Doppelmayr,2022-,2400,1821,4774,685,1000,57,11,Top,,4.7,,grand-targhee-wy/
4,Operating,Dreamcatcher,High Speed Quad,Garaventa CTEC,1996-,2400,1883,6278,700,1000,120,25,Bottom,Top,6.3,,grand-targhee-wy/
5,Operating,Sacajewea,High Speed Quad,Garaventa CTEC,2001-,2400,1289,3891,600,1000,51,15,Top,Bottom,3.9,,grand-targhee-wy/
6,Operating,Shoshone,Quad,Garaventa CTEC,1996-,1800,350,1881,100,350,80,9,Bottom,Bottom,5.4,,grand-targhee-wy/
7,Removed,Bannock,Double,Hall,1969-1996,775,1795,6012,,550,,,,,10.9,,grand-targhee-wy/
8,Removed,Shoshone,Double,Hall,1969-1996,1000,385,1740,,465,,,,,3.7,,grand-targhee-wy/
9,Removed,Blackfoot,Double,Riblet,1974-2016,1300,1200,3236,,500,,,Bottom,Bottom,6.5,,grand-targhee-wy/
2,Operating,Pinnacle Express,Double,Borvig,2005-,,,,,,,10,Bottom,Bottom,,"Relocated from Devil's Elbow, ON. Midstation, later removed",granite-gorge-nh/
2,Operating,Blitzen,Triple,Riblet,2001-,,,,,,,20,Bottom,Bottom,,"Relocated from Brighton, UT. Midstation",granite-peak-wi/
3,Operating,Comet Express,High Speed Six,Leitner-Poma,2003-,3200,582,3260,400,1000,,10,Top,Dual,3.3,,granite-peak-wi/
4,Operating,Cupid Express,High Speed Quad,Leitner-Poma,2014-,2600,492,2364,300,1000,,9,Top,Dual,2.4,,granite-peak-wi/
5,Operating,Dasher Express,High Speed Quad,Leitner-Poma,2012-,2600,610,3178,400,1000,,11,Top,Dual,3.2,,granite-peak-wi/
6,Operating,Santa,Triple,Thiokol,2004-,,,,,,,10,Bottom,Bottom,,Relocated,granite-peak-wi/
7,Removed,Beginner,Triple,Riblet,1988-2002,1800,290,1998,125,450,,,,,4.4,,granite-peak-wi/
8,Removed,Cupid,Double,Riblet,2001-2014,,,,,,,,Bottom,Bottom,,"Relocated from Bridger Bowl, MT",granite-peak-wi/
9,Removed,Dancer,Double,SLI,1976-2003,1200,400,1730,,450,,,,,3.8,,granite-peak-wi/
10,Removed,Donner,Triple,Riblet,2002-2012,,,,,,,,,,,Relocated from Beginner,granite-peak-wi/
11,Removed,Prancer,Double,Riblet,1969-2015,1200,569,3376,,500,,,,,6.8,Midstation,granite-peak-wi/
12,Removed,,T-Bar,Constam,1965-,1000,504,2820,,450,,,,,6.3,,granite-peak-wi/
2,Operating,Poma,Platter,Poma,1969-,350,215,830,,400,,,Bottom,Top,2,,granlibakken-ca/
2,Operating,Chairlift,Quad,Skytrac,2021-,2400,174,868,100,425,42,5,Bottom,Bottom,2,,great-bear-sd/
3,Removed,Billion,Quad,Borvig,1981-2021,2400,182,882,,400,44,5,Bottom,Bottom,2.2,,great-bear-sd/
2,Operating,Rawhide Gulch,Double,Riblet,2000-,,250,2450,,500,,,Bottom,Top,4.9,Relocated,great-divide-mt/
3,Operating,Meadow Mountain,Double,Riblet,1993-,,300,1000,,400,26,7,Bottom,Top,2.5,Relocated,great-divide-mt/
4,Operating,Good Luck,Double,Mueller,1988-,,615,2600,,,,11,Bottom,Bottom,,Relocated,great-divide-mt/
5,Operating,Mount Belmont,Double,Mueller,1987-,,1300,4500,,500,,18,Bottom,Bottom,9,"Relocated, has Riblet chairs",great-divide-mt/
6,Operating,Wild West,Double,Riblet,2001-,,1200,4800,,450,,16,Bottom,Bottom,10.7,Relocated,great-divide-mt/
7,Removed,Mount Belmont,T-Bar,,1969-1987,,,3200,,,,,,,,"Relocated from Whitefish, MT",great-divide-mt/
2,Operating,Sky Ride,Double,Hopkins,,,,,,,30,4,Bottom,Top,,,great-escape-ny/
2,Operating,1,Double,Hall,1971-,1200,737,3211,,465,139,17,Bottom,Bottom,6.9,,greek-peak-ny/
3,Operating,1A Visions Express,Quad,Doppelmayr,2013-,2400,735,3313,300,450,112,14,Bottom,Bottom,7.4,Loading carpet,greek-peak-ny/
4,Operating,2,Double,Carlevaro-Savio,1963-,1000,750,4300,,,134,17,Top,Bottom,,,greek-peak-ny/
5,Operating,3,Triple,VonRoll,2022-,,,,,,70,7,Top,Bottom,,"Relocated from Windham Mountain, NY",greek-peak-ny/
6,Operating,4,Double,Hall,1970-,1000,601,2732,,465,98,15,Bottom,Bottom,5.9,,greek-peak-ny/
7,Operating,5,Triple,Hall,1978-,1725,646,3229,,460,139,20,Top,Bottom,7,,greek-peak-ny/
8,Removed,1A,Double,Borvig,1998-2013,,,,,,,,Bottom,Bottom,,Relocated,greek-peak-ny/
9,Removed,3,Double,Hall,1969-2022,900,157,1253,,420,44,7,Bottom,Bottom,3,,greek-peak-ny/
10,Removed,,Platter,Poma,1964-1994,700,127,660,,,,,,,,,greek-peak-ny/
11,Removed,,T-Bar,,1960-1998,,,3100,,,,,,,,,greek-peak-ny/
12,Removed,,T-Bar,,1960-1998,,,2000,,,,,,,,,greek-peak-ny/
2,Operating,Poma,Platter,Leitner-Poma,2016-,,,,,,,2,Bottom,Top,,,grill-hill-vt/
2,Operating,Blue Skyride,Tram 44,Voest,1965-,700,2800,5280,,2000,2,2,Bottom,Top,2.6,,grouse-mountain-bc/
3,Operating,Greenway,Quad,Leitner-Poma,2008-,1200,75,666,50,450,17,3,Bottom,Bottom,1.5,,grouse-mountain-bc/
4,Operating,Olympic Express,High Speed Quad,Leitner-Poma,2003-,2300,1176,2820,450,1000,45,9,Top,Dual,2.8,,grouse-mountain-bc/
5,Operating,Peak,Quad,Leitner-Poma,2008-,1500,466,1811,150,450,53,8,Bottom,Bottom,4,,grouse-mountain-bc/
6,Operating,Red Skyride,Tram 100,Garaventa AG,1976-,1200,2631,5300,,1970,2,2,,,2.7,,grouse-mountain-bc/
7,Operating,Screaming Eagle,High Speed Quad,Poma,2000-,2000,691,3329,300,1000,52,14,Top,Dual,3.3,,grouse-mountain-bc/
8,Removed,Blueberry,Double,Habegger,1968-2003,1350,770,5474,,500,119,11,Top,Top,11,,grouse-mountain-bc/
9,Removed,Cut,Double,Doppelmayr,1972-2000,1550,710,3505,175,465,,,,,7.5,,grouse-mountain-bc/
10,Removed,Cut,Double,Homemade,1950-1972,760,,3600,,,90,,Top,Bottom,,,grouse-mountain-bc/
11,Removed,Inferno,Double,Mueller,1975-2003,1440,955,2450,,,,,Top,Bottom,,,grouse-mountain-bc/
12,Removed,Peak,Double,Habegger,1970-2003,,,,,,,,Bottom,,,,grouse-mountain-bc/
13,Removed,Skyline,Double,Homemade,1949-1976,540,,5169,,,104,,Top,Bottom,,,grouse-mountain-bc/
14,Removed,T-Bar,T-Bar,Doppelmayr,1972-2000,1200,633,3180,125,600,,,,,5.3,,grouse-mountain-bc/
2,Operating,Panorama,High Speed Quad,Doppelmayr CTEC,2003-,2400,1602,6427,600,1000,133,22,Bottom,Top,6.4,First Uni-GS ever built,gunstock-nh/
3,Operating,Penny Pitou's Silver Medal,Quad,Doppelmayr CTEC,2009-,1500,165,1207,60,400,,6,Bottom,Top,3,,gunstock-nh/
4,Operating,Pistol,Triple,Doppelmayr,2003-,1800,523,2510,,500,118,10,Bottom,Bottom,5,Relocated from Summit,gunstock-nh/
5,Operating,Ramrod,Quad,Doppelmayr,1988-,2100,420,1860,125,400,81,9,Bottom,Bottom,4.7,,gunstock-nh/
6,Operating,Tiger,Triple,Doppelmayr,1986-,1800,720,2780,,445,126,12,Bottom,Bottom,6.2,,gunstock-nh/
7,Removed,F,T-Bar,Alpine Lift,1969-1980,800,155,810,,410,,,,,2,,gunstock-nh/
8,Removed,Gunshy,Double,Doppelmayr,1986-2011,1000,130,800,,360,37,5,Top,Top,2.2,,gunstock-nh/
9,Removed,Gunshy,Platter,Doppelmayr,1980-1986,600,136,870,,400,,,,,2.2,,gunstock-nh/
10,Removed,Pistol,Double,Mueller,1970-2003,1000,470,2250,,350,,,Bottom,Bottom,6.4,,gunstock-nh/
11,Removed,Summit,Triple,Doppelmayr,1986-2003,1800,1300,6360,,500,,,Bottom,Bottom,12.7,,gunstock-nh/
12,Removed,Summit,Double,Mueller,1964-1986,900,1400,6500,,,,,,,,,gunstock-nh/
13,Removed,Summit 2,Double,Mueller,1964-1986,,,6500,,,,,,,,,gunstock-nh/
2,Operating,T-Bar,T-Bar,Doppelmyr,,,,,,,,2,Bottom,Top,,,gwynne-valley-ab/
3,Removed,,T-Bar,Harusch,,,,,,,,,,,,,gwynne-valley-ab/
2,Operating,T-Bar,T-Bar,Poma,1965-,1000,136,910,,420,,4,Bottom,Top,2.2,,hanson-hills-mi/
3,Removed,,T-Bar,Poma,1965-,1000,138,903,,420,,,,,2.2,,hanson-hills-mi/
2,Operating,Heineken Highline,Pulse Gondola 8,Doppelmayr,2019,212,0,1600,145,600,12,5,East,East,2.7,,hard-rock-stadium-fl/
2,Operating,The Hawk Skylift,Quad,Doppelmayr,2012-,,600,2800,,200,56,12,Bottom,Top,14,Midstation,harper-brothers-mountain-tn/
2,Operating,Huser,Triple,Doppelmayr,1977-,1100,1336,4480,,450,121,18,Bottom,Bottom,10,,harper-mountain-bc/
3,Operating,T-Bar,T-Bar,Doppelmayr,1973-,1150,694,2640,,580,,7,Bottom,Top,4.6,,harper-mountain-bc/
4,Removed,Small T-Bar,T-Bar,Doppelmayr,1975-,1010,275,1470,,570,,,,,2.6,,harper-mountain-bc/
2,Operating,Platter,Platter,Doppelmayr,1993-,711,147,612,20,435,33,3,Bottom,Bottom,1.4,,hart-bc/
2,Operating,La Mille Pattes,T-Bar,Samson,,,,,,,,14,Bottom,Bottom,,,haute-gaspesie-qc/
2,Operating,Aerial Tramway,Tram 6,Hall,1970-,,466,1066,,600,4,4,Bottom,Bottom,3.3,,hawks-nest-wv/
2,Operating,Aerial Tram,Tram 50,VonRoll,1984-,650,1569,4015,,1575,2,2,Bottom,Top,2.5,,heavenly-canv/
3,Operating,Big Easy,Quad,Doppelmayr CTEC,2003-,1600,172,910,60,350,36,6,Bottom,Bottom,2.6,,heavenly-canv/
4,Operating,Boulder,Triple,Riblet,1988-,1800,440,3103,150,400,150,14,Top,Bottom,7.8,,heavenly-canv/
5,Operating,Canyon Express,High Speed Quad,Doppelmayr CTEC,2003-,2600,1002,3831,500,1000,89,14,Bottom,Top,7.7,,heavenly-canv/
6,Operating,Comet Express,High Speed Quad,Doppelmayr,1988-,2800,883,3688,400,1000,98,14,Bottom,,3.7,,heavenly-canv/
7,Operating,Dipper Express,High Speed Quad,Doppelmayr,1994-,2800,1141,5013,600,1000,106,18,Top,Bottom,5,,heavenly-canv/
8,Operating,First Ride,Triple,Yan,1998-,,,,,,61,7,Top,Top,,,heavenly-canv/
9,Operating,Galaxy,Triple,Doppelmayr,2018-,1800,1014,5617,285,500,225,19,Top,Top,11.2,,heavenly-canv/
10,Operating,Gondola,Gondola 8,Doppelmayr,2000-,2800,2874,12149,1800,1200,138,35,Top,Bottom,10.1,Midstation,heavenly-canv/
11,Operating,Groove,Triple,Yan,1992-,,,,,,56,9,Top,Bottom,,Formerly part of Powderbowl,heavenly-canv/
12,Operating,Gunbarrel Express,High Speed Quad,Doppelmayr,1998-,2600,1588,3758,600,1000,81,17,Top,Bottom,3.8,,heavenly-canv/
13,Operating,Mott Canyon,Double,Doppelmayr,1991-,1000,871,2702,150,550,82,9,Top,Bottom,4.9,,heavenly-canv/
14,Operating,North Bowl Express,High Speed Quad,Doppelmayr,2022-,2400,1279,5077,550,1000,108,17,Top,,5.1,,heavenly-canv/
15,Operating,Olympic Express,High Speed Quad,Doppelmayr CTEC,2007-,2400,866,3330,500,1000,74,12,Top,Bottom,3.3,,heavenly-canv/
16,Operating,Patsy's,Triple,Yan,1982-,2000,124,1220,,500,57,7,Top,Bottom,2.4,,heavenly-canv/
17,Operating,Powderbowl Express,High Speed Six,Doppelmayr CTEC,2004-,3400,793,2325,600,1000,49,11,Top,Bottom,2.3,,heavenly-canv/
18,Operating,Sky Express,High Speed Quad,Doppelmayr,1992-,2400,1418,4585,700,1000,98,18,Bottom,Top,4.6,,heavenly-canv/
19,Operating,Stagecoach Express,High Speed Quad,Doppelmayr,1998-,2800,1493,5920,700,1000,124,24,Bottom,Top,5.9,,heavenly-canv/
20,Operating,Tamarack Express,High Speed Six,Doppelmayr,1997-,2400,571,2930,400,1000,43,9,Bottom,Top,2.9,,heavenly-canv/
21,Operating,World Cup,Double,SLI,1969-,900,323,1170,,400,42,6,Bottom,Top,2.9,,heavenly-canv/
22,Removed,Boulder,Double,Riblet,1967-1988,950,1688,7864,,,,,,,,,heavenly-canv/
23,Removed,Canyon,Triple,Yan,1980-2003,1800,1018,4039,,500,,,,,8.1,,heavenly-canv/
24,Removed,Chair Two,Double,Heron,1965-,900,805,3900,,450,,,,,8.7,,heavenly-canv/
25,Removed,Chair Three,Double,Heron,1964-,870,1380,4720,,,,,,,,,heavenly-canv/
26,Removed,Dipper,Double,Riblet,1967-1984,1200,1142,5084,,,,,,,,,heavenly-canv/
27,Removed,Galaxy,Double,SLI,-2018,,,,,,,24,Top,Bottom,,,heavenly-canv/
28,Removed,Gunbarrel,Double,Heron,1955-1978,,1650,4000,,,,,,,,,heavenly-canv/
29,Removed,Gunbarrel,Triple,Yan,1978-1998,1800,1624,3720,,400,,,,,9.3,,heavenly-canv/
30,Removed,North Bowl,Triple,Riblet,1984-2022,1800,1205,5127,,500,,,Top,Bottom,10.3,,heavenly-canv/
31,Removed,Olympic,Double,SLI,1971-2007,1200,836,2905,,,,,Top,Bottom,,,heavenly-canv/
32,Removed,Powderbowl,Triple,Yan,1983-2004,,,,,,,,,,,Shortened 1992,heavenly-canv/
33,Removed,Ridge,Double,Heron,-2003,,1000,,,,,,,,,,heavenly-canv/
34,Removed,Sky,Triple,Yan,1983-1992,1800,1485,4663,,475,,,,,9.8,,heavenly-canv/
35,Removed,Stagecoach,Double,Yan,1976-1998,1150,1389,5815,,365,,,,,15.9,,heavenly-canv/
36,Removed,Waterfall,Triple,Yan,1982-2004,2000,916,3450,,525,,,,,6.6,,heavenly-canv/
37,Removed,Wells Fargo,Double,SLI,1974-,,1600,,,,,,,,,,heavenly-canv/
38,Removed,West Bowl,Double,Heron,1966-1998,930,1661,4090,,,,,,,,,heavenly-canv/
39,Removed,West Bowl,Platter,Poma,1967-,650,145,770,,,,,,,,,heavenly-canv/
40,Removed,,Platter,Yan,1968-,360,90,730,,365,,,,,2,,heavenly-canv/
41,Removed,,T-Bar,Constam,1966-1976,,140,1235,,,,,,,,,heavenly-canv/
2,Operating,,Double,Heron-Poma,1972-,1000,700,2210,100,500,,,,,4.4,,heiliger-huegel-wi/
2,Operating,Airtram,Tram 25,Habegger,1970-,530,515,1118,140,984,2,0,Top,Bottom,,,hells-gate-bc/
2,Operating,Skyfari,Triple,Hall,2009-,,,,,,78,14,Top,Top,,,henry-doorly-zoo-ne/
2,Operating,Barnstormer,High Speed Six,Doppelmayr,2015-,2725,1181,5450,700,1000,,,Bottom,Top,5.5,Bubble chairs,hermitage-club-vt/
3,Operating,Stag's Leap,Quad,Skytrac,2013-,1600,302,2958,150,450,,,,,6.6,,hermitage-club-vt/
4,Operating,The Tage,Quad,Skytrac,2012-,600,448,2855,75,400,,,Top,Top,7.1,,hermitage-club-vt/
5,Operating,The Witches,Triple,CTEC,1987-,1800,685,2350,200,500,,,Bottom,Bottom,4.7,,hermitage-club-vt/
6,Removed,Barnstormer,Triple,Poma,1985-2015,1800,804,5556,,500,,,Bottom,Bottom,11.1,Bottom terminal relocated in 2012,hermitage-club-vt/
7,Removed,Fanny Hill,T-Bar,Mueller,1964-2005,1000,200,1025,,,,,Bottom,Bottom,,,hermitage-club-vt/
8,Removed,Hayfever,Triple,Poma,1985-2020,1800,1179,3335,,500,,,Bottom,Bottom,6.7,,hermitage-club-vt/
9,Removed,Hayfever,Double,Mueller,1964-1985,1000,689,2621,,,,,,,,,hermitage-club-vt/
10,Removed,Haymaker,Double,Mueller,1986-2005,,,,,,,,Bottom,Bottom,,Relocated from Hayfever,hermitage-club-vt/
11,Removed,Oh No,Double,Mueller,1965-2005,900,1200,5550,160,550,128,16,Bottom,Bottom,10.1,Retrofitted with CTEC chairs,hermitage-club-vt/
12,Removed,Transfer,Double,Mueller,,,,,,,,,,,,,hermitage-club-vt/
