1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
29,Removed,Wildcat,Double,,1959-1980,,,,,,,,,,,,alta-ski-area-ut/
2,Operating,Bear Cub,Quad,Doppelmayr CTEC,2008-,1200,288,1156,100,300,40,6,Top,Bottom,3.9,,alyeska-ak/
3,Operating,Chair 7,Quad,Poma,1993-,2000,289,2815,100,500,94,11,Top,Top,5.6,Midstation and Loading Carpet,alyeska-ak/
4,Operating,Glacier Bowl Express,High Speed Quad,Doppelmayr,2013-,2400,1401,4307,800,1000,92,17,Bottom,Top,4.3,,alyeska-ak/
5,Operating,Ted's Express,High Speed Quad,Doppelmayr,2012-,1800,1348,4455,453,984,70,17,Bottom,Top,4.5,,alyeska-ak/
6,Operating,Tram,Tram 60,VonRoll,1992-,800,2028,4699,700,2000,2,1,Bottom,Top,2.3,,alyeska-ak/
7,Removed,1,Double,Riblet,1976-2017,970,2073,6349,,500,,,Bottom,Bottom,12.7,Midstation,alyeska-ak/
8,Removed,1,Double,Riblet,1960-1979,,,,,,,,,,,,alyeska-ak/
9,Removed,2,Double,Riblet,1972-1973,910,1252,3717,150,500,,,,,7.4,,alyeska-ak/
10,Removed,3,Double,Riblet,1974-2008,1200,315,1052,,389,,,Bottom,Bottom,2.7,,alyeska-ak/
11,Removed,4,Double,Riblet,1973-1992,1030,1120,3252,,500,,,,,6.5,,alyeska-ak/
12,Removed,4,Quad,Poma,1992-2012,2100,1364,4498,400,500,,16,Bottom,Bottom,9,,alyeska-ak/
13,Removed,1A,Double,Riblet,1979-1992,820,2015,5400,,500,,,,,10.8,,alyeska-ak/
14,Standing,Tanaka,Double,Riblet,1979-2017,1200,530,1658,,500,64,10,Bottom,Bottom,3.3,,alyeska-ak/
15,Removed,6 Spirit of Alyeska,High Speed Quad,Doppelmayr,1988-2013,2400,1400,4291,525,1000,,,Bottom,Bottom,4.3,Bubbles,alyeska-ak/
16,Removed,Poma,Platter,Poma,1959-,,,,,,,,,,,,alyeska-ak/
